Zipcode,State,County,City
501,NY,Suffolk County,Holtsville
544,NY,Suffolk County,Holtsville
601,PR,Adjuntas Municipio,Adjuntas
602,,Aguada Municipio,Aguada
603,,Aguadilla Municipio,Aguadilla
604,,,Aguadilla
605,,,Aguadilla
606,,Maricao Municipio,Maricao
610,,Añasco Municipio,Anasco
611,,,Angeles
612,,Arecibo Municipio,Arecibo
613,,,Arecibo
614,,,Arecibo
616,,Arecibo Municipio,Bajadero
617,,Barceloneta Municipio,Barceloneta
622,,Cabo Rojo Municipio,Boqueron
623,,Cabo Rojo Municipio,Cabo Rojo
624,,Peñuelas Municipio,Penuelas
627,,Camuy Municipio,Camuy
631,,Lares Municipio,Castaner
636,,,Rosario
637,,Sabana Grande Municipio,Sabana Grande
638,,Ciales Municipio,Ciales
641,,Utuado Municipio,Utuado
646,,Dorado Municipio,Dorado
647,,Guánica Municipio,Ensenada
650,,Florida Municipio,Florida
652,,Arecibo Municipio,Garrochales
653,,Guánica Municipio,Guanica
656,,Guayanilla Municipio,Guayanilla
659,,Hatillo Municipio,Hatillo
660,,Hormigueros Municipio,Hormigueros
662,,Isabela Municipio,Isabela
664,,Jayuya Municipio,Jayuya
667,,Lajas Municipio,Lajas
669,,Lares Municipio,Lares
670,,Las Marías Municipio,Las Marias
674,,Manatí Municipio,Manati
676,,Moca Municipio,Moca
677,,Rincón Municipio,Rincon
678,,Quebradillas Municipio,Quebradillas
680,,Mayagüez Municipio,Mayaguez
681,,,Mayaguez
682,,Mayagüez Municipio,Mayaguez
683,,San Germán Municipio,San German
685,,San Sebastián Municipio,San Sebastian
687,,Morovis Municipio,Morovis
688,,Arecibo Municipio,Sabana Hoyos
690,,Aguadilla Municipio,San Antonio
692,,Vega Alta Municipio,Vega Alta
693,,Vega Baja Municipio,Vega Baja
694,,Vega Baja Municipio,Vega Baja
698,,Yauco Municipio,Yauco
703,,Aguas Buenas Municipio,Aguas Buenas
704,,Salinas Municipio,Aguirre
705,,Aibonito Municipio,Aibonito
707,,Maunabo Municipio,Maunabo
714,,Arroyo Municipio,Arroyo
715,,Ponce Municipio,Mercedita
716,,Ponce Municipio,Ponce
717,,Ponce Municipio,Ponce
718,,Naguabo Municipio,Naguabo
719,,Naranjito Municipio,Naranjito
720,,Orocovis Municipio,Orocovis
721,,,Palmer
723,,Patillas Municipio,Patillas
725,,Caguas Municipio,Caguas
726,,,Caguas
727,,Caguas Municipio,Caguas
728,,Ponce Municipio,Ponce
729,,Canóvanas Municipio,Canovanas
730,,Ponce Municipio,Ponce
731,PR,Ponce Municipio,Ponce
732,PR,,Ponce
733,PR,,Ponce
734,PR,,Ponce
735,PR,Ceiba Municipio,Ceiba
736,PR,Cayey Municipio,Cayey
737,PR,,Cayey
738,PR,Fajardo Municipio,Fajardo
739,PR,Cidra Municipio,Cidra
740,PR,Fajardo Municipio,Puerto Real
741,PR,Humacao Municipio,Punta Santiago
